incrad,minsep,crowder_potential,phi_slot,phi_membrane,Labels
1.06,2.85,-0.06,0.931591499,0.698693624,1.0
1.06,2.85,-0.06,0.931591499,0.698693624,1.0
1.06,2.85,-0.06,0.931591499,0.698693624,0.0
1.06,2.85,-0.06,0.931591499,0.698693624,0.0
1.06,2.85,-0.06,0.931591499,0.698693624,1.0
1.06,2.85,-0.19,0.931591499,0.698693624,0.0
1.06,2.85,-0.19,0.931591499,0.698693624,1.0
1.06,2.85,-0.19,0.931591499,0.698693624,0.0
1.06,2.85,-0.19,0.931591499,0.698693624,0.0
1.06,2.85,-0.19,0.931591499,0.698693624,0.0
1.06,2.31,0.25,0.931591499,0.698693624,1.0
1.06,2.31,0.25,0.931591499,0.698693624,1.0
1.06,2.31,0.25,0.931591499,0.698693624,1.0
1.06,2.31,0.25,0.931591499,0.698693624,0.0
1.06,2.31,0.25,0.931591499,0.698693624,1.0
1.06,1.77,0.25,0.914248291,0.685686218,0.0
1.06,1.77,0.25,0.914248291,0.685686218,0.0
1.06,1.77,0.25,0.914248291,0.685686218,0.0
1.06,1.77,0.25,0.914248291,0.685686218,1.0
1.06,1.77,0.25,0.914248291,0.685686218,0.0
1.06,2.31,0.06,0.931591499,0.698693624,1.0
1.06,2.31,0.06,0.931591499,0.698693624,1.0
1.06,2.31,0.06,0.931591499,0.698693624,1.0
1.06,2.31,0.06,0.931591499,0.698693624,0.0
1.06,2.31,0.06,0.931591499,0.698693624,1.0
1.06,2.31,0.12,0.931591499,0.698693624,1.0
1.06,2.31,0.12,0.931591499,0.698693624,1.0
1.06,2.31,0.12,0.931591499,0.698693624,0.0
1.06,2.31,0.12,0.931591499,0.698693624,1.0
1.06,2.31,0.12,0.931591499,0.698693624,1.0
1.06,2.31,-0.06,0.931591499,0.698693624,1.0
1.06,2.31,-0.06,0.931591499,0.698693624,1.0
1.06,2.31,-0.06,0.931591499,0.698693624,1.0
1.06,2.31,-0.06,0.931591499,0.698693624,1.0
1.06,2.31,-0.06,0.931591499,0.698693624,1.0
1.06,2.31,0.0,0.931591499,0.698693624,1.0
1.06,2.31,0.0,0.931591499,0.698693624,1.0
1.06,2.31,0.0,0.931591499,0.698693624,0.0
1.06,2.31,0.0,0.931591499,0.698693624,1.0
1.06,2.31,0.0,0.931591499,0.698693624,0.0
1.06,1.77,0.06,0.914248291,0.685686218,1.0
1.06,1.77,0.06,0.914248291,0.685686218,1.0
1.06,1.77,0.06,0.914248291,0.685686218,1.0
1.06,1.77,0.06,0.914248291,0.685686218,1.0
1.06,1.77,0.06,0.914248291,0.685686218,1.0
1.06,2.85,-0.12,0.931591499,0.698693624,1.0
1.06,2.85,-0.12,0.931591499,0.698693624,1.0
1.06,2.85,-0.12,0.931591499,0.698693624,1.0
1.06,2.85,-0.12,0.931591499,0.698693624,0.0
1.06,2.85,-0.12,0.931591499,0.698693624,1.0
1.06,3.39,-0.12,0.948934707,0.711701031,1.0
1.06,3.39,-0.12,0.948934707,0.711701031,1.0
1.06,3.39,-0.12,0.948934707,0.711701031,1.0
1.06,3.39,-0.12,0.948934707,0.711701031,1.0
1.06,3.39,-0.12,0.948934707,0.711701031,1.0
1.06,3.39,-0.06,0.948934707,0.711701031,0.0
1.06,3.39,-0.06,0.948934707,0.711701031,1.0
1.06,3.39,-0.06,0.948934707,0.711701031,1.0
1.06,3.39,-0.06,0.948934707,0.711701031,1.0
1.06,3.39,-0.06,0.948934707,0.711701031,1.0
2.19,3.39,0.25,0.992292728,0.744219546,1.0
2.19,3.39,0.25,0.992292728,0.744219546,1.0
2.19,3.39,0.25,0.992292728,0.744219546,1.0
2.19,3.39,0.25,0.992292728,0.744219546,1.0
2.19,3.39,0.25,0.992292728,0.744219546,1.0
2.19,3.92,-0.12,0.992292728,0.744219546,1.0
2.19,3.92,-0.12,0.992292728,0.744219546,1.0
2.19,3.92,-0.12,0.992292728,0.744219546,1.0
2.19,3.92,-0.12,0.992292728,0.744219546,1.0
2.19,3.92,-0.12,0.992292728,0.744219546,1.0
2.19,3.92,0.25,0.992292728,0.744219546,1.0
2.19,3.92,0.25,0.992292728,0.744219546,1.0
2.19,3.92,0.25,0.992292728,0.744219546,1.0
2.19,3.92,0.25,0.992292728,0.744219546,1.0
2.19,3.92,0.25,0.992292728,0.744219546,1.0
2.19,3.92,-0.19,0.992292728,0.744219546,1.0
2.19,3.92,-0.19,0.992292728,0.744219546,1.0
2.19,3.92,-0.19,0.992292728,0.744219546,1.0
2.19,3.92,-0.19,0.992292728,0.744219546,1.0
2.19,3.92,-0.19,0.992292728,0.744219546,1.0
