incrad,minsep,crowder_potential,phi_slot,phi_membrane,Deff_membrane
0.5,0.7,0.06,0.807092845,0.605319634,0.508981044
0.5,0.7,0.06,0.807092845,0.605319634,0.509496906
0.5,0.7,0.19,0.807092845,0.605319634,0.486229406
0.5,0.7,0.19,0.807092845,0.605319634,0.485711472
0.5,0.7,0.19,0.807092845,0.605319634,0.486782675
0.5,0.7,0.19,0.807092845,0.605319634,0.486131775
0.5,0.7,0.19,0.807092845,0.605319634,0.486746696
0.5,1.24,-0.19,0.894023402,0.670517552,0.654084259
0.5,1.24,-0.19,0.894023402,0.670517552,0.653665355
0.5,1.24,-0.19,0.894023402,0.670517552,0.655810926
0.5,1.24,0.25,0.894023402,0.670517552,0.556741544
0.5,1.24,0.25,0.894023402,0.670517552,0.557449149
0.5,1.24,0.25,0.894023402,0.670517552,0.556298764
0.5,1.24,0.25,0.894023402,0.670517552,0.557095199
0.5,1.24,0.25,0.894023402,0.670517552,0.557598819
0.5,1.24,0.19,0.894023402,0.670517552,0.569142152
0.5,1.24,0.19,0.894023402,0.670517552,0.568403032
0.5,1.24,0.19,0.894023402,0.670517552,0.568422812
0.5,1.24,0.19,0.894023402,0.670517552,0.569643617
0.5,1.24,0.19,0.894023402,0.670517552,0.569097229
0.5,1.24,0.06,0.894023402,0.670517552,0.596611559
0.5,1.24,0.06,0.894023402,0.670517552,0.596479888
0.5,1.24,0.06,0.894023402,0.670517552,0.59575582
0.5,1.24,0.06,0.894023402,0.670517552,0.59751892
0.5,1.24,0.06,0.894023402,0.670517552,0.596590222
0.5,1.77,-0.25,0.943158065,0.707368549,0.715682252
0.5,1.77,-0.25,0.943158065,0.707368549,0.717382974
0.5,1.77,-0.25,0.943158065,0.707368549,0.718054421
0.5,1.77,-0.25,0.943158065,0.707368549,0.715131993
0.5,1.77,-0.25,0.943158065,0.707368549,0.71704374
0.5,1.77,0,0.943158065,0.707368549,0.670876394
0.5,1.77,0,0.943158065,0.707368549,0.6717535
0.5,1.77,0,0.943158065,0.707368549,0.671908485
0.5,1.77,0,0.943158065,0.707368549,0.671766813
0.5,1.77,0,0.943158065,0.707368549,0.671341674
0.5,1.77,-0.12,0.943158065,0.707368549,0.691629414
0.5,1.77,-0.12,0.943158065,0.707368549,0.6925666
0.5,1.77,-0.12,0.943158065,0.707368549,0.69315266
0.5,1.77,-0.12,0.943158065,0.707368549,0.691741085
0.5,1.77,-0.12,0.943158065,0.707368549,0.692489168
0.5,1.77,-0.06,0.943158065,0.707368549,0.682274445
0.5,1.77,-0.06,0.943158065,0.707368549,0.681598911
0.5,1.77,-0.06,0.943158065,0.707368549,0.681571035
0.5,1.77,-0.06,0.943158065,0.707368549,0.682620412
0.5,1.77,-0.06,0.943158065,0.707368549,0.682344884
0.5,1.77,0.06,0.943158065,0.707368549,0.661217129
0.5,1.77,0.06,0.943158065,0.707368549,0.661394637
0.5,1.77,0.06,0.943158065,0.707368549,0.661448192
0.5,1.77,0.06,0.943158065,0.707368549,0.661523908
0.5,1.77,0.06,0.943158065,0.707368549,0.661467379
0.5,2.85,-0.12,0.97717437,0.732880778,0.725846992
0.5,2.85,-0.12,0.97717437,0.732880778,0.727800942
0.5,2.85,-0.12,0.97717437,0.732880778,0.726299412
0.5,2.85,-0.12,0.97717437,0.732880778,0.725493534
0.5,2.85,-0.12,0.97717437,0.732880778,0.725800272
0.5,2.31,0.25,0.954496833,0.715872625,0.649416184
0.5,2.31,0.25,0.954496833,0.715872625,0.647313016
0.5,2.31,0.25,0.954496833,0.715872625,0.646927986
0.5,2.31,0.25,0.954496833,0.715872625,0.64781718
0.5,2.31,0.25,0.954496833,0.715872625,0.647602728
0.5,2.85,-0.25,0.97717437,0.732880778,0.735748761
0.5,2.85,-0.25,0.97717437,0.732880778,0.736001644
0.5,2.85,-0.25,0.97717437,0.732880778,0.735111789
0.5,2.85,-0.25,0.97717437,0.732880778,0.735856765
0.5,2.85,-0.25,0.97717437,0.732880778,0.735732516
0.5,2.31,0.19,0.954496833,0.715872625,0.657168914
0.5,2.31,0.19,0.954496833,0.715872625,0.656059724
0.5,2.31,0.19,0.954496833,0.715872625,0.657019135
0.5,2.31,0.19,0.954496833,0.715872625,0.656069584
0.5,2.31,0.19,0.954496833,0.715872625,0.656611618
0.5,2.85,-0.19,0.97717437,0.732880778,0.731102632
0.5,2.85,-0.19,0.97717437,0.732880778,0.731417157
0.5,2.85,-0.19,0.97717437,0.732880778,0.730644852
0.5,2.85,-0.19,0.97717437,0.732880778,0.73106817
0.5,2.85,-0.19,0.97717437,0.732880778,0.731054853
0.5,1.77,0.12,0.943158065,0.707368549,0.651201679
0.5,1.77,0.12,0.943158065,0.707368549,0.651780234
0.5,1.77,0.12,0.943158065,0.707368549,0.652089178
0.5,1.77,0.12,0.943158065,0.707368549,0.650287212
0.5,1.77,0.12,0.943158065,0.707368549,0.650904563
0.5,2.31,-0.25,0.954496833,0.715872625,0.725412064
0.5,2.31,-0.25,0.954496833,0.715872625,0.725576417
0.5,2.31,-0.25,0.954496833,0.715872625,0.72597499
0.5,2.31,-0.25,0.954496833,0.715872625,0.725639046
0.5,2.31,-0.25,0.954496833,0.715872625,0.724491916
0.5,1.77,0.19,0.943158065,0.707368549,0.640356493
0.5,1.77,0.19,0.943158065,0.707368549,0.638979772
0.5,1.77,0.19,0.943158065,0.707368549,0.640404704
0.5,1.77,0.19,0.943158065,0.707368549,0.640649592
0.5,1.77,0.19,0.943158065,0.707368549,0.640137613
0.5,1.77,0.25,0.943158065,0.707368549,0.631246038
0.5,1.77,0.25,0.943158065,0.707368549,0.63219759
0.5,1.77,0.25,0.943158065,0.707368549,0.630620804
0.5,1.77,0.25,0.943158065,0.707368549,0.631001446
0.5,1.77,0.25,0.943158065,0.707368549,0.630539018
0.5,2.31,-0.19,0.954496833,0.715872625,0.716724177
0.5,2.31,-0.19,0.954496833,0.715872625,0.715444836
0.5,2.31,-0.19,0.954496833,0.715872625,0.715932836
0.5,2.31,-0.19,0.954496833,0.715872625,0.716346876
0.5,2.31,-0.19,0.954496833,0.715872625,0.714436311
0.5,2.31,-0.12,0.954496833,0.715872625,0.704619674
0.5,2.31,-0.12,0.954496833,0.715872625,0.70432005
0.5,2.31,-0.12,0.954496833,0.715872625,0.704397538
0.5,2.31,-0.12,0.954496833,0.715872625,0.70431565
0.5,2.31,-0.12,0.954496833,0.715872625,0.704233528
0.5,2.31,-0.06,0.954496833,0.715872625,0.694486273
0.5,2.31,-0.06,0.954496833,0.715872625,0.694547213
0.5,2.31,-0.06,0.954496833,0.715872625,0.693942378
0.5,2.31,-0.06,0.954496833,0.715872625,0.695091131
0.5,2.31,-0.06,0.954496833,0.715872625,0.694952224
0.5,2.31,0,0.954496833,0.715872625,0.684978231
0.5,2.31,0,0.954496833,0.715872625,0.685239482
0.5,2.31,0,0.954496833,0.715872625,0.685671702
0.5,2.31,0,0.954496833,0.715872625,0.685435518
0.5,2.31,0,0.954496833,0.715872625,0.685327918
0.5,2.31,0.12,0.954496833,0.715872625,0.667830679
0.5,2.31,0.12,0.954496833,0.715872625,0.666437086
0.5,2.31,0.12,0.954496833,0.715872625,0.667079538
0.5,2.31,0.12,0.954496833,0.715872625,0.666350902
0.5,2.31,0.12,0.954496833,0.715872625,0.667098944
0.5,2.31,0.06,0.954496833,0.715872625,0.676109191
0.5,2.31,0.06,0.954496833,0.715872625,0.67575248
0.5,2.31,0.06,0.954496833,0.715872625,0.676262409
0.5,2.31,0.06,0.954496833,0.715872625,0.676538805
0.5,2.31,0.06,0.954496833,0.715872625,0.676109499
0.5,2.85,0.25,0.97717437,0.732880778,0.698946949
0.5,2.85,0.25,0.97717437,0.732880778,0.699442977
0.5,2.85,0.25,0.97717437,0.732880778,0.699342771
0.5,2.85,0.25,0.97717437,0.732880778,0.698780669
0.5,2.85,0.25,0.97717437,0.732880778,0.699480094
0.5,2.85,0.19,0.97717437,0.732880778,0.703465356
0.5,2.85,0.19,0.97717437,0.732880778,0.703618275
0.5,2.85,0.19,0.97717437,0.732880778,0.703399806
0.5,2.85,0.19,0.97717437,0.732880778,0.70382806
0.5,2.85,0.19,0.97717437,0.732880778,0.704426733
0.5,2.85,0.12,0.97717437,0.732880778,0.708302735
0.5,2.85,0.12,0.97717437,0.732880778,0.708875978
0.5,2.85,0.12,0.97717437,0.732880778,0.707876228
0.5,2.85,0.12,0.97717437,0.732880778,0.709070147
0.5,2.85,0.12,0.97717437,0.732880778,0.708504373
0.5,2.85,-0.06,0.97717437,0.732880778,0.72178438
0.5,2.85,-0.06,0.97717437,0.732880778,0.721351363
0.5,2.85,-0.06,0.97717437,0.732880778,0.721768556
0.5,2.85,-0.06,0.97717437,0.732880778,0.72167348
0.5,2.85,-0.06,0.97717437,0.732880778,0.721496826
0.5,2.85,0.06,0.97717437,0.732880778,0.712736653
0.5,2.85,0.06,0.97717437,0.732880778,0.712572362
0.5,2.85,0.06,0.97717437,0.732880778,0.71336398
0.5,2.85,0.06,0.97717437,0.732880778,0.712569616
0.5,2.85,0.06,0.97717437,0.732880778,0.712877562
0.5,2.85,0,0.97717437,0.732880778,0.717123419
0.5,2.85,0,0.97717437,0.732880778,0.717271681
0.5,2.85,0,0.97717437,0.732880778,0.716071357
0.5,2.85,0,0.97717437,0.732880778,0.716511352
0.5,2.85,0,0.97717437,0.732880778,0.717165809
0.5,3.39,-0.25,0.979064165,0.734298124,0.736794597
0.5,3.39,-0.25,0.979064165,0.734298124,0.736552908
0.5,3.39,-0.25,0.979064165,0.734298124,0.73551091
0.5,3.39,-0.25,0.979064165,0.734298124,0.736528095
0.5,3.39,-0.25,0.979064165,0.734298124,0.737307923
0.5,3.39,-0.19,0.979064165,0.734298124,0.731825447
0.5,3.39,-0.19,0.979064165,0.734298124,0.731387823
0.5,3.39,-0.19,0.979064165,0.734298124,0.732581401
0.5,3.39,-0.19,0.979064165,0.734298124,0.732987213
0.5,3.39,-0.19,0.979064165,0.734298124,0.731783347
0.5,3.39,0.12,0.979064165,0.734298124,0.711613772
0.5,3.39,0.12,0.979064165,0.734298124,0.711612618
0.5,3.39,0.12,0.979064165,0.734298124,0.711486454
0.5,3.39,0.12,0.979064165,0.734298124,0.711485867
0.5,3.39,0.12,0.979064165,0.734298124,0.710988226
0.5,3.39,0.19,0.979064165,0.734298124,0.706998735
0.5,3.39,0.19,0.979064165,0.734298124,0.707258635
0.5,3.39,0.19,0.979064165,0.734298124,0.70695242
0.5,3.39,0.19,0.979064165,0.734298124,0.706502099
0.5,3.39,0.19,0.979064165,0.734298124,0.707015748
0.5,3.39,-0.06,0.979064165,0.734298124,0.72468025
0.5,3.39,-0.06,0.979064165,0.734298124,0.723767346
0.5,3.39,-0.06,0.979064165,0.734298124,0.723569643
0.5,3.39,-0.06,0.979064165,0.734298124,0.723376539
0.5,3.39,-0.06,0.979064165,0.734298124,0.722880339
0.5,3.39,-0.12,0.979064165,0.734298124,0.72757351
0.5,3.39,-0.12,0.979064165,0.734298124,0.728359366
0.5,3.39,-0.12,0.979064165,0.734298124,0.727564994
0.5,3.39,-0.12,0.979064165,0.734298124,0.727331223
0.5,3.39,-0.12,0.979064165,0.734298124,0.726911578
0.5,3.39,0,0.979064165,0.734298124,0.719494916
0.5,3.39,0,0.979064165,0.734298124,0.719329571
0.5,3.39,0,0.979064165,0.734298124,0.719395724
0.5,3.39,0,0.979064165,0.734298124,0.719046193
0.5,3.39,0,0.979064165,0.734298124,0.719302898
0.5,3.39,0.06,0.979064165,0.734298124,0.716579305
0.5,3.39,0.06,0.979064165,0.734298124,0.715992349
0.5,3.39,0.06,0.979064165,0.734298124,0.715089671
0.5,3.39,0.06,0.979064165,0.734298124,0.715680931
