incrad,minsep,crowder_potential,phi_slot,phi_membrane,totflux_A_1000
0.5,3.39,-0.12,0.979064165,0.734298124,-0.000171881
0.5,3.39,-0.12,0.979064165,0.734298124,-0.000102393
0.5,3.39,-0.12,0.979064165,0.734298124,-0.00016897
0.5,3.39,-0.12,0.979064165,0.734298124,-0.000110135
0.5,3.39,-0.12,0.979064165,0.734298124,9.95e-05
0.5,3.39,0.0,0.979064165,0.734298124,0.000228749
0.5,3.39,0.0,0.979064165,0.734298124,3.41e-05
0.5,3.39,0.0,0.979064165,0.734298124,8.04e-05
0.5,3.39,0.0,0.979064165,0.734298124,3.3e-05
0.5,3.39,0.0,0.979064165,0.734298124,-0.000143338
0.5,3.39,0.06,0.979064165,0.734298124,0.000110454
0.5,3.39,0.06,0.979064165,0.734298124,7.15e-05
0.5,3.39,0.06,0.979064165,0.734298124,2.84e-05
0.5,3.39,0.06,0.979064165,0.734298124,0.000105331
0.5,3.39,0.06,0.979064165,0.734298124,-0.000108493
0.5,4.46,-0.19,0.992292728,0.744219546,1.28e-05
0.5,4.46,-0.19,0.992292728,0.744219546,1.28e-05
0.5,4.46,-0.19,0.992292728,0.744219546,1.28e-05
0.5,4.46,-0.19,0.992292728,0.744219546,1.27e-05
0.5,4.46,-0.19,0.992292728,0.744219546,1.24e-05
0.5,4.46,0.0,0.992292728,0.744219546,1.28e-05
0.5,4.46,0.0,0.992292728,0.744219546,1.28e-05
0.5,4.46,0.0,0.992292728,0.744219546,1.27e-05
0.5,4.46,0.0,0.992292728,0.744219546,1.24e-05
0.5,4.46,0.0,0.992292728,0.744219546,1.28e-05
0.5,4.46,-0.25,0.992292728,0.744219546,1.29e-05
0.5,4.46,-0.25,0.992292728,0.744219546,1.28e-05
0.5,4.46,-0.25,0.992292728,0.744219546,1.28e-05
0.5,4.46,-0.25,0.992292728,0.744219546,1.28e-05
0.5,4.46,-0.25,0.992292728,0.744219546,1.28e-05
0.5,4.46,0.19,0.992292728,0.744219546,1.28e-05
